name,type,start_time,duration,"mosi","miso"
"SPI","enable",0.0018923,2e-09,,
"SPI","result",0.001901214,7.5e-06,0x00,0x45
"SPI","result",0.001909212,7.502e-06,0x00,0xD3
"SPI","disable",0.00191875,2e-09,,
"SPI","enable",0.001969134,2e-09,,
"SPI","result",0.001970236,7.5e-06,0x00,0x0B
"SPI","result",0.001978234,7.502e-06,0x00,0x7F
"SPI","disable",0.001987772,2e-09,,
"SPI","enable",0.002177638,2e-09,,
"SPI","result",0.002186552,7.5e-06,0x00,0x00
"SPI","result",0.00219455,7.502e-06,0x00,0x00
"SPI","disable",0.002204086,2e-09,,
"SPI","enable",0.002254384,2e-09,,
"SPI","result",0.002255486,7.5e-06,0x00,0x0B
"SPI","result",0.002263484,7.502e-06,0x00,0x7F
"SPI","disable",0.002273022,2e-09,,
"SPI","enable",0.002453562,2e-09,,
"SPI","result",0.002462476,7.5e-06,0x00,0x00
"SPI","result",0.002470476,7.5e-06,0x00,0x00
"SPI","disable",0.002480012,2e-09,,
"SPI","enable",0.002530034,2e-09,,
"SPI","result",0.002531136,7.5e-06,0x00,0x0B
"SPI","result",0.002539134,7.502e-06,0x00,0x80
"SPI","disable",0.002548672,2e-09,,
"SPI","enable",0.00272535,2e-09,,
"SPI","result",0.002734264,7.5e-06,0x00,0x00
"SPI","result",0.002742264,7.5e-06,0x00,0x00
"SPI","disable",0.0027518,2e-09,,
"SPI","enable",0.002802272,2e-09,,
"SPI","result",0.002803374,7.5e-06,0x00,0x4B
"SPI","result",0.002811372,7.502e-06,0x00,0x7F
"SPI","disable",0.00282091,2e-09,,